Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Orion Kerkering","PHI",3,127.245,103.94,,,108.39568627450979,,,,,124.77266666666668,110.83466666666665,134.18633333333335,"Orion Kerkering",31776,689147
"Jonathan Loáisiga","NYY",17.2,88.77999999999997,106.34581818181817,,,,90.81058823529412,105.1591304347826,,,130.80228813559322,102.95000000000003,132.87864406779667,"Jonathan Loaisiga",19753,642528
"José Alvarado","PHI",41.1,,103.02967889908257,110.55614379084965,,,,,,,120.2082162162162,106.92859459459453,132.52391891891892,"Jose Alvarado",17780,621237
"Emmanuel Clase","CLE",72.2,112.89199999999998,,95.52512549537649,,99.8294677871149,,,,,133.47337488869098,97.1098308103295,129.13303650934992,"Emmanuel Clase",21032,661403
"Jacob deGrom","TEX",30.1,99.64374468085106,,,,110.19137724550897,118.93111111111112,117.184,,,123.50760000000002,105.50168888888889,128.96457777777775,"Jacob deGrom",10954,594798
"Félix Bautista","BAL",61,97.18306122448978,,,93.14467213114756,70.85957446808511,,,,,126.45608883405296,95.99822331893893,127.06370141887719,"Felix Bautista",20666,642585
"Guillo Zuñiga","STL",2,116.71999999999998,,,,111.40470588235293,,24.200000000000003,,,121.93162790697676,110.31534883720929,125.9860465116279,"Guillo Zuniga",19588,670871
"Tyler Rogers","SFG",74,,110.02010434782605,,,101.34802919708032,,,,,124.65235452103856,106.30347358997312,125.52723366159353,"Tyler Rogers",15541,643511
"Brusdar Graterol","LAD",67.1,107.32524233661073,111.53185185185185,96.59411600856264,,104.76778761061944,,,,,121.8402035489666,105.9961943471421,124.26122604591555,"Brusdar Graterol",20367,660813
"Ryan Helsley","STL",36.2,102.73149560117305,,,,98.96627802690583,83.66790697674419,,,,124.27064250411864,99.99775947281715,122.90968698517295,"Ryan Helsley",18138,664854
"Tanner Scott","MIA",78,99.11059440559444,,,,99.88864353312307,,,,,123.73865671641789,99.51930348258702,122.67412935323384,"Tanner Scott",17586,656945
"Yennier Cano","BAL",72.2,142.02411764705883,100.92750889679715,,,108.4591304347826,,121.22141843971629,,,114.25433628318584,109.11191740412983,122.07476892822024,"Yennier Cano",25911,666974
"Zack Wheeler","PHI",192,111.58218978102188,104.60679577464786,97.21041942604856,,105.87111111111112,101.88498614958445,77.87076923076923,,,116.6682170050761,106.34307741116756,121.9518908629442,"Zack Wheeler",10310,554430
"Griffin Jax","MIN",65.1,116.7946382978724,106.57731343283585,109.216,,109.45847549909254,,109.54279569892475,,,112.61982725527827,110.59078694817653,121.95072936660266,"Griffin Jax",20253,643377
"Blair Calvo","COL",1,,162.84,,,69.78,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
"Jeffrey Springs","TBR",16,114.36214285714284,,,,117.94150943396224,,116.11267605633803,,,107.52419047619047,116.08923809523809,121.15219047619046,"Jeffrey Springs",17677,605488
"Jhoan Duran","MIN",62.1,92.14577680525163,,,100.12395683453238,,95.92678200692043,,,,130.2730721966206,92.92033794162825,121.08202764976957,"Jhoan Duran",21029,661395
"Gregory Soto","PHI",60.1,88.84082840236687,100.98703349282293,,,115.07126760563379,,93.1,,,122.39480916030539,103.85387404580153,120.94648854961828,"Gregory Soto",19677,642397
"Pete Fairbanks","TBR",45.1,74.88457300275482,,,,99.2725683060109,,62.983999999999995,,,136.35085948158252,86.94851296043653,120.27593451568885,"Pete Fairbanks",17998,664126
"DL Hall","BAL",19.1,112.93487437185928,,,,111.57255319148936,131.75411764705882,97.54590163934428,,,111.71250673854449,110.92177897574125,119.66371967654987,"DL Hall",22207,669084
"Paul Sewald","- - -",60.2,104.03831365935919,,,,92.74619543650796,,,,,120.84302403178033,101.45830619312937,119.35765722705591,"Paul Sewald",13892,623149
"Vinny Nittoli","NYM",3.2,,129.26666666666668,140.16,,96.01166666666666,,,,,94.42758620689654,119.63793103448276,119.29620689655172,"Vinny Nittoli",16754,657697
"Jason Foley","DET",69,110.35333333333331,110.50099585062245,,,96.59615384615383,,108.0775539568345,,,112.27057251908401,107.70585877862598,118.98356870229007,"Jason Foley",19531,671345
"Gregory Santos","CHW",66.1,106.55043478260869,101.32240174672489,,,115.49007272727273,,58.18133333333333,,,110.4484536082474,108.3639737582006,118.74219306466729,"Gregory Santos",21894,666619
"Aroldis Chapman","- - -",58.1,90.58215767634856,105.4912883435583,,105.57222222222222,107.4955326460481,,,,,117.72680958155296,99.15506407740942,118.66394798071101,"Aroldis Chapman",10233,547973
"Craig Kimbrel","PHI",69,103.74485411140583,,,,,,,104.52717391304344,,116.58236135957064,104.08135957066189,118.47363148479427,"Craig Kimbrel",6655,518886
"Elvin Rodríguez","TBR",3.1,124.44,,,,87.5,113.22,139.1,,,99.40468085106384,115.45106382978723,117.95531914893618,"Elvin Rodriguez",20962,660730
"Kenley Jansen","BOS",44.2,,66.9086567164179,101.78352112676058,,96.68139534883723,,,,,123.64483333333331,97.15516666666664,117.39277777777782,"Kenley Jansen",3096,445276
"Jordan Hicks","- - -",65.2,86.784,98.65446927374299,,66.93111111111111,84.602,,,,,124.65468578618342,93.4302438833795,117.28919511368076,"Jordan Hicks",19618,663855
"Evan Phillips","LAD",61.1,106.5077966101695,107.37020000000003,111.34581818181817,,99.07405797101447,,,,,114.68908690869083,104.48712871287123,116.98664466446645,"Evan Phillips",17734,623465
"A.J. Puk","MIA",56.2,108.51414432989691,119.55041666666669,,87.08500000000001,106.45467980295568,,92.8175,,,114.6707045215563,108.00414300736064,116.96037854889592,"A.J. Puk",19343,640462
"James McArthur","KCR",23.1,108.75333333333333,104.16084033613447,59.78,,113.17662650602409,123.16984848484849,,,,100.71958944281529,112.85906158357771,116.72697947214074,"James McArthur",21527,663704
"Camilo Doval","SFG",67.2,,103.78064516129035,102.24909090909091,,89.95450121654498,,,,,116.25314537444936,98.43046696035253,116.6936387665198,"Camilo Doval",21992,666808
"Trevor Megill","MIL",34.2,101.31101851851854,,,,,,,92.34682634730541,,119.77176997218574,98.78798866776815,116.64211796248641,"Trevor Megill",17722,656730
"Devin Williams","MIL",58.2,95.50145945945947,,128.1510344827586,,,,106.09737704918031,,,109.6639406779661,102.58938559322034,116.26949152542385,"Devin Williams",15816,642207
"Gabe Speier","SEA",54.2,109.3416049382716,108.07424581005587,,,105.44983739837396,,87.81692307692309,,,115.71946084724007,107.20657252888319,116.10066752246476,"Gabe Speier",17170,642100
"Robert Suarez","SDP",27.2,105.85836257309941,91.56388349514562,96.565,,88.05200000000002,,108.22185430463576,,,113.10013363028955,103.06498886414253,116.0678841870824,"Robert Suarez",30115,663158
"Matt Brash","SEA",70.2,89.49257403189067,111.78102564102564,81.58905660377357,,96.79624020887731,,49.68,73.51823008849557,,123.77027972027975,91.98216783216783,116.05156643356645,"Matt Brash",25756,666374
"Andrés Muñoz","SEA",49,92.16671586715866,92.93471698113208,,,93.62449382716044,,,,,123.4572215568863,92.98455089820358,115.91803592814372,"Andres Munoz",20373,662253
"Beau Brieske","DET",35,107.25888446215141,86.33586776859502,,,92.36072567344698,,111.71839999999999,,,102.69319273111154,112.20231348112335,115.84984615430754,"Beau Brieske",26079,689225
"Tim Mayza","TOR",53.1,,103.26306946688207,,,115.93221052631579,,,,,107.93391304347826,106.3380869565217,115.5940372670807,"Tim Mayza",15042,641835
"Shane McClanahan","TBR",115,103.42007863695937,,,,108.25489208633094,102.91741100323625,98.59276595744682,,,112.71516217702036,102.82389224848818,115.30139637163275,"Shane McClanahan",21483,663556
"Drew Rasmussen","TBR",44.2,100.8724623115578,103.45512195121951,106.52454545454545,,102.14138613861387,109.01877551020408,,,,115.95066864784548,103.91878157503714,115.21545319465083,"Drew Rasmussen",25385,656876
"Bobby Miller","LAD",124.1,109.79082892416224,107.75117021276597,,,120.12707602339181,101.65199999999999,97.85929936305733,,,109.36904907975459,107.27762781186092,115.15321063394681,"Bobby Miller",27483,676272
"Chris Martin","BOS",51.1,106.72425702811245,116.7321495327103,110.15156626506025,112.97168831168831,96.56,,,,,112.1149861495846,109.7563157894736,115.04113573407206,"Chris Martin",11847,455119
"Andrew Kittredge","TBR",11.2,124.71923076923076,105.722,,,119.29857142857145,,,,,106.93623655913977,113.12591397849461,115.02505376344085,"Andrew Kittredge",12828,552640
"José Rodríguez","SEA",3,123.44,144.5,,,92.42,,85.14,,,101.12,115.53125,115.01291666666667,"Jose Rodriguez",17860,642578
"Sandy Alcantara","MIA",184.2,114.62867012089808,102.21772151898735,,,101.50456721915285,95.42187499999997,103.99266129032257,,,110.04951291512916,105.03641328413288,114.77891512915126,"Sandy Alcantara",18684,645261
"Ryan Pressly","HOU",65.1,95.55907172995778,100.86,116.01333333333336,,108.21036674816628,89.92383763837641,99.86505494505494,,,112.6699411764706,99.72411764705892,114.73300000000005,"Ryan Pressly",7005,519151
"Brock Stewart","MIN",27.2,103.44830409356727,99.25489361702128,96.85887640449438,,88.5612765957447,,75.14216216216217,,,121.42924829157178,95.97435079726652,114.65685649202736,"Brock Stewart",16727,592779
"Yoendrys Gómez","NYY",2,128.92,,,,114.38,129,66.25999999999999,,,101.57333333333332,118.64533333333333,114.60466666666667,"Yoendrys Gomez",22872,672782
"Steven Wilson","SDP",53,87.02815249266862,,96.86,,108.3909677419355,,109.90066666666668,,,114.6040768409819,100.56633938100317,114.58608324439703,"Steven Wilson",20353,621051
"Tyler Glasnow","TBR",120,100.86129426129425,34.35999999999999,,,105.17893129770991,90.93866336633661,63.512,,,110.70486286919828,99.86364978902955,114.55375527426155,"Tyler Glasnow",14374,607192
"Tarik Skubal","DET",80.1,114.07621004566211,107.04716216216217,,,108.54112449799196,,107.94875420875421,90.87277108433734,,107.40018136850783,108.85991755976914,114.42708985985163,"Tarik Skubal",22267,669373
"Joe Jiménez","ATL",56.1,107.79540308747855,,,,111.67114982578396,,101.32666666666665,,,108.61422746781113,108.48774678111586,114.29858369098709,"Joe Jimenez",15761,641729
"Spencer Strider","ATL",186.2,103.2616967706623,,,,94.97345419847328,,92.47031111111112,,,117.07092963202062,99.65726275016142,114.10863137508069,"Spencer Strider",27498,675911
"Julian Merryweather","CHC",72,96.60115537848606,,,,102.17331230283912,,99.59500000000001,,,119.39368678629698,99.69309951060353,113.94249592169653,"Julian Merryweather",16703,657240
"A.J. Minter","ATL",64.2,96.17147999999999,,104.30674757281557,,,,100.9154054054054,,,117.88975517890772,100.04167608286251,113.87681732580039,"A.J. Minter",18655,621345
"Thyago Vieira","MIL",3,134.27333333333334,110.94500000000001,,,96.53999999999999,,,,,113.06102564102564,106.16564102564102,113.8569230769231,"Thyago Vieira",14510,600986
"Kevin Kelly","TBR",67,71.53571428571429,104.20349019607846,97.8692452830189,,103.09830275229353,,,,,120.25018761726078,102.8005253283302,113.80268292682925,"Kevin Kelly",25679,687330
